open,high,low,close,volume,ma_vol_5,ma_vol_20,ma_close_5,ma_close_20,vol_std_5,vol_std_20,rsi,boll_mid,boll_top,boll_bot,rsv,k,d,j,vol_multiplier_5,vol_multiplier_20,vo_count_5,vo_count_20,is_3_up,is_3_down,ma_count_buy_5,ma_count_sell_5,ma_count_buy_20,ma_count_sell_20,buy_signal_5,sell_signal_5,buy_signal_20,sell_signal_20,buy_signal_count,sell_signal_count
593.75,616.79,592.83,614.03,22750574.0,31762916.0,27655139.85,595.962,635.8309999999999,7654741.453162817,8371764.452563787,38.65033171861245,635.8309999999999,704.0734547917202,567.5885452082796,95.7531927987448,64.47989163245144,40.31295478349883,112.81376533035667,1.1409961809917837,1.1027200187007475,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
626.47,626.93,583.61,586.37,28188724.0,31513172.2,28146608.7,590.7059999999999,630.7375,7746360.403761095,8095588.044449973,38.290322580429006,630.7375,697.7687995174641,563.7062004825358,79.80147737747068,78.47730608307008,58.75102041300699,117.92987742319626,1.1458134127087687,1.0876221476887897,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
585.91,588.68,559.18,565.63,37980852.0,31248413.8,29489134.6,588.0319999999999,624.7914999999999,7494049.12791568,7354869.599398569,36.140818268123326,624.7914999999999,692.7651399716831,556.8178600283168,20.413284132811256,65.32265143634224,69.42661638395458,57.11472154111755,1.1398217450613664,1.0494094756988417,6732438.199999999,8491717.399999999,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
575.77,579.92,562.87,567.94,21200149.0,27069465.4,29270201.55,585.544,619.5139999999999,5946551.451884617,7531069.4681271585,39.441245640843356,619.5139999999999,687.932692884328,551.0953071156717,23.82287822874727,41.34587991300973,61.71527914414069,0.6070814507478275,1.119677461819568,1.0572947594932827,0.0,0.0,0,1,17.603999999999928,0.0,51.57399999999984,0.0,0.0,0.0,0.0,0.0,0,0
562.4,575.77,560.1,562.4,20718055.0,26167670.8,29436308.7,579.2740000000001,613.3834999999999,6475909.848707266,7300440.99101197,37.54687310974331,613.3834999999999,679.1500721396518,547.616927860348,35.93220338970878,26.72278858375576,44.46377331103591,-8.759180870804528,1.1474775037565539,1.048008032033309,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
572.08,587.29,569.32,577.15,24258364.0,26469228.8,29334381.5,571.8979999999999,608.4515,6343520.4361940045,7357568.432383275,45.7037539188883,608.4515,669.3744231980874,547.5285768019127,93.23280617839958,50.99596259895187,39.68821036523912,73.61146706637736,1.139656413268603,1.050817234117695,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
565.63,575.31,561.94,565.63,24450991.0,25721682.2,29331708.55,567.75,603.243,6317020.628440639,7359332.124356196,35.25703425555389,603.243,659.962460187841,546.5235398121591,50.86428834111515,60.00976596974116,45.90950571748292,88.21028647425764,1.145591271182125,1.0509002198699466,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
567.94,579.92,567.01,570.7,15200361.0,21165584.0,28611205.1,568.764,599.5555,3350956.569961599,7976309.233707606,36.47898853897097,599.5555,654.6455402886046,544.4654597113955,45.4437869820698,63.180293833861505,58.06200746751818,73.41686656654817,1.058321006874254,1.0787827078876733,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
580.84,580.84,564.25,566.09,15845932.0,20094740.6,27942645.1,568.394,595.937,3967581.7419205173,8444157.0931385,28.375694995831402,595.937,649.8240511718732,542.0499488281268,36.5608465606536,44.28964062794618,55.82656681051628,21.215788262805972,1.0974437899397675,1.1021960542002698,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
568.4,574.39,554.57,561.48,19578955.0,19866920.6,26666054.3,568.21,593.01,3957942.1060956726,7644242.487093534,32.545692649060186,593.01,647.7000700310402,538.3199299689597,26.303768557189457,36.10280069997095,47.857578387259544,12.593245325393767,1.099222727355928,1.086665676184929,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
539.82,560.1,529.22,545.35,48044093.0,24624066.4,27766082.95,561.8500000000001,589.0690000000001,12164231.312233875,8947403.514755897,31.472304812002772,589.0690000000001,645.5400884966822,532.597911503318,31.247578457901483,31.370731191914842,37.25439083994399,19.603411895856553,1.3939976653179378,1.1222421949422254,23420026.6,20278010.05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
545.35,569.32,544.89,558.26,26565400.0,25046948.2,27083348.7,560.376,587.1105,12187594.455479743,8479792.28660667,43.55420188922815,587.1105,644.9853527341547,529.2356472658453,64.2904582686201,40.613935094570344,36.02915566215204,49.783493959406954,1.386589997238855,1.1130998452420573,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
558.26,560.1,540.28,550.88,31467352.0,28300346.4,27187991.5,556.412,583.1925,11260822.34372994,8520236.707839036,41.16131351835076,583.1925,639.7225500176686,526.6624499823314,54.0149625933814,49.85099977330099,40.61188868659539,68.32922194671218,1.2979040462815656,1.1133823514634775,0.0,4279360.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
552.26,559.18,545.81,548.58,22298949.0,29590949.8,27051115.6,552.9100000000001,579.1135,10065849.654257497,8575510.62562704,35.50478146428532,579.1135,633.2199636711745,525.0070363288256,66.66666666643697,61.65736250947949,50.707432459116944,83.55722261020458,1.2401664942251194,1.117011348161443,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
556.41,559.64,548.12,549.04,17291222.0,29133403.2,26923910.9,550.4219999999999,573.905,10550859.357735623,8699574.093904724,26.104860651249744,573.905,617.5148651683323,530.2951348316676,99.99999999949489,73.56054308643775,61.68963512307275,97.30235901316775,1.2621567753449285,1.1231170288082006,0.0,0.0,0,1,1.3819999999999482,0.0,24.86500000000001,0.0,0.0,0.0,0.0,0.0,0,0
565.17,591.44,559.64,589.6,35692209.0,26663026.4,27379809.4,559.2719999999999,572.2455,6503738.971914314,8905772.567816712,51.08469339733013,572.2455,610.4832109539801,534.0077890460199,132.3252246326266,99.66396376618616,78.29395645403447,142.40397839048953,1.1439235094450613,1.125267880346045,9029182.600000001,8312399.6000000015,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
588.68,593.29,561.48,567.01,29482319.0,27246410.2,27382053.2,561.022,569.9635000000001,6598943.849343028,8906296.341597354,50.45774180661642,569.9635000000001,603.4339318914491,536.493068108551,83.6617223819268,105.32898233801609,92.85116306354666,130.28462088695494,1.142194982785036,1.1252603548954232,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
552.72,566.55,552.72,558.26,268356927.0,74624325.2,38834667.35,562.4979999999999,568.9265,97067874.30739573,53333824.40096205,46.920727827549996,568.9265,602.4977831300821,535.355216869918,71.57998521057044,95.85564407504127,100.28286339308117,87.00120543896148,1.5,1.3,193732601.8,229522259.65,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
566.55,566.55,554.11,558.72,24367944.0,75038124.2,37948320.0,564.5260000000001,567.8435,96848091.1753743,53419510.15237479,48.790269559051254,567.8435,601.2641147609545,534.4228852390454,72.71382795150933,75.98517851466885,92.38993497590873,43.17566559218906,1.5,1.3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
554.57,557.79,542.58,552.26,30351622.0,77650204.2,38204549.7,565.1700000000001,565.769,95420991.16767788,53370144.63891032,41.34622070747596,565.769,597.6133564230797,533.9246435769203,49.97914059219893,64.75765125142622,78.86615794704545,36.54063786018776,1.5,1.3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
